adult_DL_sub-11_T1w,5740,1363,1198,261,150,27,1860,116,1357,332,26,254,381,4,366,1733,12,596,50781,1674,14792,5489,32,5205,6273,62,5986,239309,4958,68451,193563,4596,54232,7654,22,4987,5226,21,3507,2996274,84504,803160,3007180,100619,978665,3061,251,2523,4878,1119,1354,787,216,308,300,69,58,65449,24037,5478,52748,24497,7565,487,0,483,90,1,49,6878,30,5487,7054,561,4560,29663,913,10392,12330,776,10058,2278,472,797,5630,378,3059,75606,2513,13267,16280,203,7280,11539,422,2007,1370,54,1063,1306,198,1069,12726,1742,10862,12368,1066,9471,9583,468,6751,12424,389,5040,5509,904,1085,3780,934,1326,14223,1495,10325,27903,1662,11919,6892,339,6527,16717,529,6026,9881,685,6911,7784,361,5223,10410,792,9451,12757,417,8912,5801,735,3438,15192,245,1224,2273,161,2073,3617,218,2641,14301,2331,2330,50570,5028,6231,14177,1326,8658,8268,651,4909,4225,1326,2365,4541,1328,2211,27949,393,11055,16025,600,13217,48250,229,11759,15289,803,4339,27471,2219,23899,53329,2236,19189,9107,1653,5372,2002,138,500,11339,1010,9848,25450,818,11708,7905,1742,5779,7367,1322,5636,63694,13873,23637,53608,8029,33546,14260,730,13411,16444,1197,14443,12171,2117,3307,9919,2339,6545,604,190,384,550,24,249,8042,248,7275,5929,194,4325,14129,3426,9821,14375,2857,9009,53137,600,12676,42670,468,13831,4832,414,3645,5894,109,5514,11599,1093,9340,6578,1317,4980,7643,842,5017,5642,582,4330,6074,510,5490,2147,181,1623,10172,1956,6985,15866,1019,8032,27771,3521,19436,48468,1711,19801,2963,406,1621,18715,41,876,4343,266,3661,17858,112,3747,5709,470,4159,3884,247,3434,36486,2102,16855,25505,1111,13055,8061,927,5321,6648,310,2946,13196,552,5948,14615,49,3332,34907,2828,25353,35822,3062,28322,3823,292,3440,7655,145,3373,2348,646,1614,3004,774,2165,54763,13410,25004,40736,5344,31861,13702,1568,11680,16346,1172,14566,16815,2402,12136,17677,1157,16146,6785,313,5749,6442,294,4911,23929,1477,11670,36699,2115,18425,16254,900,11346,28327,640,12124,17174,1295,8675,11681,788,5651,5898,1217,3266,5786,939,4822,10428,234,3196,8356,191,3818,,1
adult_DL_sub-12_T1w,4902,1257,1523,255,14,3,1371,13,1244,563,19,410,418,1,406,827,6,200,73342,257,10281,5362,48,5238,5659,12,5355,104453,1446,64811,162785,1829,57745,4650,0,4410,3418,1,1983,3030237,32682,809297,2913072,27790,984756,2671,213,2131,6303,825,1709,1068,223,521,472,121,161,44468,17662,6686,43151,16702,8997,986,0,951,92,0,43,6942,40,6236,5374,157,4908,47754,89,8440,12632,451,9331,4666,45,518,7023,114,1345,44020,966,14134,11779,259,6399,12615,311,1752,1365,31,1101,1040,64,943,11481,1073,9006,9688,895,8159,12432,330,7463,10888,319,5525,2575,1147,870,3696,311,986,11319,1193,8051,28529,2068,13728,5151,197,4951,20693,314,4585,8767,378,6577,9755,363,7960,10551,1091,9304,8858,333,6943,5384,328,4789,8379,28,925,3306,147,2957,4021,351,2854,11817,1380,2266,29727,3176,7519,15007,862,12219,11276,329,5693,3109,1391,1663,3182,1079,1774,32135,303,10559,10888,137,9358,43205,157,14573,29145,611,9216,31884,1644,24118,62029,1217,19854,6376,1555,4373,1906,168,365,12553,608,9131,19779,509,9084,6601,1570,4467,6641,1614,4612,42172,10642,25635,52500,5908,35705,12422,211,11611,13951,834,12920,7487,2001,3078,8238,1649,5820,1420,51,1273,1285,14,1111,8834,171,8109,8104,206,7021,16091,3926,11810,14965,2537,11597,37530,222,15869,49471,457,15762,5032,522,3590,6984,29,6842,19347,357,9212,6935,470,6151,8420,813,6955,8580,496,7522,3523,280,3162,2929,213,2344,11194,765,8135,12888,544,6870,31817,1847,21579,40941,1184,17571,3269,147,1750,23509,32,553,4489,189,3751,16300,372,3316,7342,193,6246,4925,107,4640,42286,1433,20353,30999,854,18515,5930,450,4975,5251,344,3483,7723,921,4483,16154,103,3674,37493,1906,32843,38092,2064,32313,5243,133,4406,8068,97,3843,2629,158,2302,1881,173,1646,43626,8500,24866,40687,3645,30967,14411,1214,12865,14505,831,13575,17319,758,13167,18985,1059,16391,9485,362,5803,5919,125,5103,36022,443,10581,39949,1572,17306,17676,873,10084,22988,332,11293,28014,719,8444,15248,759,10387,5681,904,4596,4645,612,3771,9923,139,3567,8202,57,2273,,1
adult_DL_sub-13_T1w,3782,1,0,772,0,0,951,0,0,1064,0,0,231,0,0,1148,0,0,57958,0,0,6138,0,0,7598,0,0,127088,1,0,154459,16,0,2873,0,0,7620,0,0,2804224,10152,0,2851641,6558,0,3843,0,0,6620,0,0,665,0,0,351,1,0,62568,143,0,58820,155,0,444,0,0,38,0,0,5311,0,0,6569,2,0,26018,3,0,9675,203,0,5278,0,0,5383,0,0,60911,0,0,10729,0,0,5331,0,0,2276,0,0,1025,0,0,19440,1,0,12347,4,0,10596,0,0,9245,0,0,5126,0,0,2741,0,0,14650,4,0,24810,0,0,6146,0,0,18658,0,0,13659,0,0,11749,0,0,13769,1,0,19538,0,0,5919,0,0,5449,0,0,5429,0,0,4322,0,0,14045,0,0,38025,0,0,12848,0,0,6945,0,0,5356,0,0,4770,0,0,31295,0,0,10804,0,0,50215,1,0,32397,8,0,28812,0,0,42332,0,0,14635,0,0,2928,0,0,20341,0,0,28380,1,0,10057,3,0,11005,0,0,52491,9,0,65473,23,0,14658,0,0,21610,6,0,10843,0,0,14157,0,0,1140,0,0,1581,0,0,6550,0,0,7698,0,0,28018,0,0,22739,3,0,35945,0,0,34945,0,0,4158,2,0,6337,0,0,12092,0,0,9241,0,0,7033,0,0,10688,0,0,9675,1,0,3310,0,0,7471,137,0,14704,187,0,26495,2,0,29425,0,0,3795,1,0,16608,0,0,7284,0,0,11162,0,0,6863,3,0,4566,0,0,29942,0,0,24361,0,0,12961,0,0,5307,0,0,10325,0,0,17065,1,0,40085,0,0,45616,0,0,4829,0,0,10438,6,0,4054,1,0,3224,0,0,61164,0,0,45521,0,0,10588,1,0,17115,0,0,18664,11,0,17886,0,0,11420,0,0,5521,0,0,21025,1,0,26738,0,0,14451,0,0,30439,0,0,23462,39,0,24640,0,0,7637,0,0,5457,5,0,4824,0,0,15914,0,0,,1
adult_DL_sub-18_T1w,3431,595,1210,257,81,9,1824,31,1480,330,6,238,321,38,243,1471,1,486,80576,275,11911,6974,99,6781,7676,39,6605,160082,1524,52250,204971,2736,50600,13936,0,8720,4696,1,2405,3338745,40609,848820,3335595,43664,1010117,2612,410,1958,7149,3857,1525,663,237,318,546,132,151,83122,24080,6101,44593,19744,7197,618,0,550,75,0,8,7400,13,6746,5115,375,4135,20665,303,8176,8471,375,6732,5294,155,820,4084,305,1441,97049,1942,12131,13506,60,4672,11710,232,1414,821,37,636,1470,193,1239,11170,967,10076,11640,455,10026,8990,493,4996,6282,415,5384,4711,645,1151,4164,319,1106,10522,1174,6640,36855,800,12725,3774,232,3485,17902,251,7011,11556,355,6546,7978,191,6124,9461,227,9162,14081,88,8889,4727,282,4000,13875,66,651,2657,49,2064,3979,100,2431,15026,1503,2297,52859,3663,10247,13709,457,10112,7763,341,4194,3320,410,2873,4447,307,3467,23362,210,9226,13343,137,12161,54775,61,13161,20629,1133,4299,28349,2093,23827,51663,981,20032,13243,1214,8414,3212,191,1366,11779,423,10322,22359,269,11471,6733,817,5830,7586,507,5338,63212,6455,37202,52527,3084,40814,10971,87,10681,17434,619,15935,14670,1271,4341,10015,813,6679,2407,46,2348,3038,16,2636,9033,15,7738,7265,73,6246,18469,1714,16387,14162,1003,11039,42737,381,18617,47772,120,17723,4499,346,3200,9380,153,6480,15704,449,9225,6696,271,5808,9372,448,4790,5789,180,5254,5195,150,3522,2241,88,1998,10664,550,9503,17832,439,7839,27872,1599,22383,41060,604,24642,3331,129,1170,23408,27,381,5588,36,4278,16019,199,3851,5771,276,4478,4809,41,4568,35917,416,18006,27941,235,14569,5911,247,5078,6612,169,2662,10281,297,5013,15383,12,3256,40807,983,33446,39621,725,33334,4203,417,3719,8228,9,2627,1766,277,1412,2109,256,1821,47994,3918,33862,42186,1658,35973,14139,375,12917,16727,215,16039,16457,914,13437,16170,223,14042,5285,121,4499,7018,55,6280,34882,503,18264,46475,1038,17421,16162,1528,11481,28048,233,10078,20462,1194,12882,20719,340,12309,5809,435,4650,5416,366,4913,9241,62,2846,9865,30,2631,,1
adult_DL_sub-19_T1w,3580,678,1097,551,204,12,1239,55,960,417,38,178,87,19,60,1316,7,164,89024,1213,16251,5186,8,5010,5937,227,5467,201211,3964,81604,168054,7244,60481,4957,22,3887,3503,94,2288,2909652,66050,852366,3067756,108679,1168411,3098,231,1271,4381,213,72,294,71,153,152,41,51,69681,19466,6497,40681,17070,7632,285,0,118,19,0,1,8224,60,5808,5424,184,4173,22446,1012,10004,10716,1182,7658,10979,675,577,4116,235,847,88181,1520,10287,21943,230,5103,8365,499,3018,1475,91,950,650,86,562,12625,966,11503,9453,538,7235,9781,480,8752,7679,354,6327,4208,230,1628,2588,241,1379,11261,1329,6841,35492,1126,13581,4226,282,3936,20557,313,8894,14494,590,10703,13116,408,7975,12052,517,10883,20586,458,9333,5513,529,4201,5144,224,1304,1973,49,1611,4293,116,1663,16070,2045,4397,56500,4585,12667,17843,377,10294,10035,421,5341,4947,610,4187,3886,342,2057,17896,191,10052,5112,471,4056,48970,322,15657,23371,1079,9879,29063,2071,24219,42543,1116,20154,13676,1431,9792,1992,61,1250,10891,470,8861,17413,420,9894,8893,851,7648,9166,885,7288,88582,6576,36378,55145,5342,38776,5317,224,4910,15194,678,12752,9997,425,4533,10691,1023,7463,903,68,783,919,45,699,5507,180,4906,5998,298,4536,19423,2065,16898,18619,2014,12914,34684,253,15143,30705,279,14493,2921,257,1594,4381,74,4212,12403,652,8073,7669,424,7215,9006,472,3686,5833,488,4359,5953,251,4478,2906,129,2100,7719,755,5353,13049,1203,8692,25179,2771,18179,41058,1565,18527,4959,181,1433,20464,47,259,7327,423,5890,14373,125,3873,4971,210,3628,4342,51,3833,29405,713,15288,26200,559,10410,10562,793,7752,6221,130,2377,11021,635,6811,22873,32,2688,30097,1133,23221,40794,2580,32119,5710,49,4237,11235,114,5254,2525,200,2153,2955,483,2362,56268,3865,35584,40089,3145,34788,12146,488,10923,15806,640,13351,16987,1101,13249,18579,850,16679,5478,296,4708,5302,247,3426,19869,1105,9195,24806,2388,13720,20445,511,15299,36690,282,22422,17193,1258,7673,15759,493,7542,7757,457,6142,3794,404,3018,6397,86,4178,13625,71,4923,,1
adult_DL_sub-23_T1w,3246,1510,965,416,62,61,1313,40,749,471,15,438,254,2,206,1973,0,459,67476,501,17060,5142,54,4783,5730,11,5618,175798,3893,81173,178583,4087,67977,8250,18,3690,3213,1,2591,3399539,34564,824014,3428270,33644,1051198,2624,109,2123,4573,52,2032,792,109,488,458,77,224,111499,38604,8568,47709,25082,8496,209,1,176,5,0,0,9078,26,6503,7583,17,6258,15516,170,10995,10482,281,8748,12544,116,1613,6837,129,2272,61503,1145,13911,16085,91,5824,10485,734,3243,637,47,383,640,104,517,15949,898,14492,12372,587,10493,10561,306,8566,13117,372,8130,3399,656,1603,3845,300,2167,14970,608,10331,24258,811,12273,4007,122,3621,23097,331,11066,11019,520,7314,9498,108,7079,8778,159,8442,14388,120,6764,4566,189,4091,15771,92,1810,2866,152,2571,4164,125,2495,18103,1421,4588,59731,3763,13276,18219,558,14658,11694,196,9135,3058,741,2191,3207,486,1991,36900,354,15189,12694,292,10459,52353,113,14767,23092,385,11931,27905,1263,24869,55896,717,19476,8695,1236,6378,4779,173,1629,9757,333,7917,21566,276,10689,6192,956,5092,8063,672,5163,93536,8729,33324,62443,5109,47857,8371,247,8059,12151,1224,10423,11130,1083,3427,7684,1047,5995,780,34,735,1249,12,1037,5979,178,5186,3721,94,2826,15536,2117,12786,15719,1863,11927,46726,307,19900,45049,237,16383,2878,237,2073,4704,114,4579,10488,203,6936,11267,584,9956,8285,439,4772,7689,308,6621,4282,251,3387,3806,163,2925,7877,376,6858,18548,309,9749,28041,1331,21716,45221,585,18817,4059,58,1870,26389,12,1046,6228,176,4839,17184,62,4290,5849,217,4599,5019,105,4720,43677,763,16634,25894,536,12746,6523,342,5564,9906,77,2911,10513,344,4799,17471,25,4147,36280,1249,28565,38622,1061,29190,4284,76,4106,12757,98,6844,2347,320,1862,2544,270,2255,53018,6655,36588,51423,4223,45691,16594,1209,15008,18792,976,17302,20563,2134,14494,16439,773,14452,6507,154,5968,4944,118,3996,27897,454,10309,25427,803,18691,15195,489,11819,39546,344,20565,23213,1232,9672,16184,367,8812,8232,770,5363,3808,383,3089,7192,290,2755,13698,115,3951,,1
adult_DL_sub-24_T1w,3436,1320,1138,233,173,51,1424,53,735,683,11,552,148,4,97,963,4,471,82585,759,16870,5788,46,5409,6328,284,5853,166410,4160,64796,192452,5662,62711,5356,2,4946,4255,16,2878,3048370,60402,812125,3087079,62881,1040875,2861,139,2052,5171,1055,1894,927,225,383,649,100,278,48910,16994,6889,35742,14010,9458,316,0,310,22,0,1,9365,19,6988,6669,143,6122,32681,622,7968,12837,699,9677,1862,201,378,4533,467,1983,45397,1493,13479,13201,325,5865,9736,754,2683,808,95,568,890,215,642,14483,2222,11117,12816,1167,9471,14634,383,7642,10962,228,7667,4257,1038,1559,4737,646,2334,16601,2312,11181,25330,2042,10875,7413,396,6934,26458,353,8519,10893,863,9121,10945,379,7704,9718,1045,8162,18830,300,7498,5229,491,4495,11086,112,752,2031,173,1824,4156,161,3224,18089,4057,2393,35771,6616,6564,17108,899,11363,16150,423,10283,4615,1442,3152,4308,1416,2336,37391,600,10589,11775,271,8638,48762,387,19487,34684,822,16441,30581,1885,22050,59706,1224,17493,8255,1886,5246,3817,581,1771,9982,574,8044,29552,588,11296,5993,1568,3848,6925,1405,4211,80971,21733,21287,62859,9130,39839,11608,410,9117,17689,1227,15866,11198,2008,4623,7766,1360,6116,1854,109,1705,2440,89,1994,6986,357,6158,9880,648,8236,16649,6459,9007,17690,4459,11427,39834,656,23444,43673,677,19558,4165,319,3280,6035,164,5544,22607,828,7974,6593,368,4891,9668,1200,5711,8396,701,6706,3409,492,2768,3178,464,2447,10607,1300,8143,17715,572,10217,28373,3114,21505,41034,1683,17158,3180,112,1697,25947,51,470,6115,389,5029,16183,291,4679,6532,879,4790,4746,294,4121,36295,2019,20289,38057,1373,17905,5764,544,4754,7265,373,4443,8425,423,4780,19530,115,4130,35347,3564,28176,40118,3682,30883,5686,309,4431,12873,241,4958,1377,136,1214,2128,630,1450,45763,16875,19672,43495,8004,31988,15591,2974,11480,14731,1988,12124,19064,3087,12910,17684,1559,14979,11073,312,5923,7075,216,6082,34132,1341,16089,34282,2170,17996,18268,920,13405,31897,954,18744,30590,1653,10655,19611,821,11150,5943,1606,3429,6409,1110,5225,9584,272,3047,9347,120,4058,,1
adult_DL_sub-25_T1w,4588,954,1509,482,167,14,1547,19,1093,476,0,315,659,0,653,1592,1,138,91843,166,13948,5875,12,5838,5003,4,4844,163522,921,70893,212446,1576,51824,5171,5,3810,3562,0,1772,3025186,28685,799337,3160339,29473,1015965,1875,52,1483,5165,362,300,976,58,432,321,81,20,58759,16549,5885,40300,16062,6718,328,0,80,14,0,0,11304,31,2969,2660,222,1321,11924,83,8736,8577,165,6158,3737,25,731,2547,131,956,97551,742,11288,17428,98,5267,13307,427,2386,1425,12,1259,857,41,790,13651,716,12415,9706,401,8851,10175,188,8682,4223,71,2854,3584,194,1863,4737,203,1785,20122,1089,14237,26467,833,9354,3992,136,3769,24554,125,7580,12103,306,8568,6991,88,5717,8299,186,8023,11577,126,5178,5362,256,4712,7449,90,995,2744,77,2477,1441,22,1260,19567,939,4720,54717,2038,12482,10267,251,6833,7835,216,4916,3643,782,2838,2823,677,1828,25433,150,11187,8227,62,7412,52957,74,17227,23435,760,10340,23575,653,21307,46048,802,16631,9022,960,6761,1182,62,528,10342,332,9112,27597,207,14179,8749,663,7860,8827,603,7070,56394,4429,30597,40130,3546,33255,10152,291,9776,16089,345,15656,11553,666,4014,11111,833,6646,1787,35,1736,1939,19,1743,6700,103,5859,9209,117,8735,16243,1551,14451,12780,1195,9459,51501,139,22409,47156,136,17997,1862,149,1557,4521,68,4428,8556,191,6351,5614,392,4827,8690,398,6486,5000,75,4796,3240,133,2743,1515,45,1149,7735,578,5621,12208,359,6445,26456,1382,20738,49563,645,17482,3098,68,1349,22432,31,307,6059,147,4532,16111,44,2122,7129,409,5280,3736,81,3234,37581,954,17706,32370,322,13869,8049,344,7237,9803,52,3724,11977,399,6177,23992,7,3965,35819,1041,29614,34604,877,27005,5091,58,3970,7447,35,3929,2377,147,1895,1928,171,1534,43155,3793,29951,40504,2086,34401,12761,556,11304,11784,243,10975,14771,763,11672,16247,840,14665,3622,61,3450,6701,66,5511,30600,495,14151,25445,899,14935,17524,185,13283,31363,171,16603,17876,429,8856,14288,618,9921,7416,558,6142,4658,313,4117,7580,52,2849,13774,56,2614,,1
adult_DL_sub-26_T1w,4952,1154,1111,516,145,5,1134,46,1021,374,2,343,484,18,286,2818,16,498,68748,616,13036,4985,33,4619,5527,17,5304,147722,6810,52949,136476,7170,45530,5145,9,4782,4601,18,3744,2724657,57252,888904,2826509,60266,1149382,2438,297,1371,6432,2291,632,596,116,363,514,193,177,56207,12992,5103,42380,14593,7685,659,1,460,166,0,42,10673,47,5402,4803,181,3707,14198,161,6745,10316,356,8059,4988,96,463,9209,290,3423,56860,3701,12257,12846,276,4755,5552,633,1456,1259,56,837,1285,232,1030,11099,3053,7776,12133,2075,8478,9417,1053,7487,10254,445,6006,3619,1535,730,4106,682,2016,14179,2131,8591,31705,2443,10195,4229,441,3758,13020,546,6878,11720,1123,7395,7760,484,6122,10139,850,8934,15599,494,9629,5161,293,4446,8621,492,901,2274,313,1714,3388,225,2332,12237,3971,2471,28081,7680,9070,13061,775,7679,7153,1143,4440,3969,2024,1924,3696,1717,1372,17977,938,10486,11875,660,9515,51546,297,16954,19948,805,8079,25520,2644,20507,43611,2776,16142,8787,2382,5346,2106,365,822,10049,1561,7701,26112,1485,8740,7786,2665,4950,9569,2190,6612,46459,26779,9826,47752,15533,25252,9118,711,8384,16605,1444,14365,7261,2833,1905,8462,2221,5789,1962,287,1672,806,89,695,4802,548,4167,5492,904,4537,17656,9104,8277,16292,7175,6441,50057,423,18573,44238,517,15104,2750,380,1502,4665,187,4450,12393,1395,7538,7523,1653,5795,8507,2837,4493,6448,751,5023,3593,693,2666,1909,265,1346,10242,1364,6947,12692,781,7453,29837,5183,19646,60864,2591,17281,4030,106,1522,18247,61,126,5994,362,4582,14287,327,3147,4752,342,3789,5643,306,4910,25580,3042,10912,27338,2212,13122,9309,1627,7283,6682,332,2840,9990,862,5550,17541,152,3478,32054,7760,20416,35988,6587,24760,4287,367,3112,7484,222,3971,2472,509,1891,2964,576,2184,47031,24030,12963,43825,18659,23270,15410,6737,8414,14315,5713,8301,13377,1746,8901,12584,1609,10299,4931,494,4058,6895,382,5160,18490,2501,9449,31622,4496,10532,14259,1062,9754,30975,738,15394,18630,2534,7824,19622,1133,9132,5970,2553,3063,4298,1034,2985,5523,258,2596,13250,123,2977,,1
adult_DL_sub-29_T1w,3968,425,1116,439,66,10,1599,9,1132,716,6,494,553,1,529,1474,2,747,64141,508,11629,5787,51,5348,5765,47,5612,158684,1391,57375,210172,2199,53317,9348,0,3619,3816,2,2291,3240287,32806,812896,3207931,41596,1032823,1542,68,1215,4270,1127,666,678,222,263,683,83,201,66574,15390,7332,41426,12860,9001,486,0,388,129,0,7,7082,37,6462,7039,17,5949,32318,182,9585,11295,433,9486,3658,57,448,5207,205,1834,82524,768,12221,9600,38,4983,13049,267,1401,1263,20,981,993,79,865,11265,881,9694,11022,383,10269,10391,208,8359,9197,238,6292,3379,211,1864,3858,189,2031,9092,955,6888,34998,831,12164,4712,120,4544,21347,119,9714,11496,218,8557,10890,161,8026,9669,374,9122,9819,62,6884,4159,270,3577,16377,151,1119,2288,40,2219,3408,111,2706,15288,1429,3683,49010,3058,11006,11353,827,8057,12061,525,5986,4734,491,4136,3911,520,2960,29853,207,11167,11334,269,9222,62945,95,19782,24268,909,9522,24643,1081,21600,52835,540,19003,8983,724,6648,3113,118,1549,12344,236,10625,29208,299,14063,9749,891,8635,8784,593,7029,58942,5937,37156,55194,4776,42194,11771,86,11674,19342,633,17746,17683,918,5815,8890,588,7480,1617,24,1571,1777,9,1592,7102,70,6637,6415,111,5496,16325,2118,13726,15747,1643,12436,44915,156,22378,41767,86,17234,3613,389,2646,8820,49,6974,10500,312,6778,9477,459,7748,6067,198,3714,8788,348,7508,5918,121,5494,1772,63,1578,8832,949,6579,17955,161,7629,23197,1371,17109,44942,529,21420,3658,100,1831,23778,46,553,5252,41,4130,16619,129,4564,6198,67,4739,5055,111,4752,40707,652,20347,33697,674,20897,5321,217,4525,7190,35,4869,10190,127,5008,15127,23,4275,38806,622,30895,41580,1619,32358,3994,40,3819,10607,48,4550,1800,86,1594,2448,74,2320,45829,5722,33350,43672,3232,37253,15625,680,14093,16676,535,15299,14991,573,11731,18529,578,15972,6865,97,6193,6188,89,5409,25753,309,10360,36931,828,17451,15271,373,11746,30271,147,14606,21590,517,10599,16450,133,11333,8102,427,5814,4238,355,3439,9800,68,2421,10273,8,4354,,1
